"rgn_id","habitat","km2"
2,"coral",0.873251
4,"coral",0.873251
3,"coral",0.873251
1,"coral",0.873251
2,"mangrove",15.7185
4,"mangrove",15.7185
3,"mangrove",15.7185
1,"mangrove",15.7185
2,"mangrove_inland1km",0.873251
4,"mangrove_inland1km",0.873251
3,"mangrove_inland1km",0.873251
1,"mangrove_inland1km",0.873251
2,"mangrove_offshore1km",1.7465
4,"mangrove_offshore1km",1.7465
3,"mangrove_offshore1km",1.7465
1,"mangrove_offshore1km",1.7465
2,"rocky_reef",475.922
4,"rocky_reef",475.922
3,"rocky_reef",475.922
1,"rocky_reef",475.922
2,"seagrass",397.329
4,"seagrass",397.329
3,"seagrass",397.329
1,"seagrass",397.329
2,"soft_bottom",148115
4,"soft_bottom",148115
3,"soft_bottom",148115
1,"soft_bottom",148115
