"rgn_id","sciname","popn_trend"
2,"Alopias vulpinus","Decreasing"
4,"Alopias vulpinus","Decreasing"
3,"Alopias vulpinus","Decreasing"
1,"Alopias vulpinus","Decreasing"
2,"Balaenoptera acutorostrata","Stable"
4,"Balaenoptera acutorostrata","Stable"
3,"Balaenoptera acutorostrata","Stable"
1,"Balaenoptera acutorostrata","Stable"
2,"Balaenoptera borealis","Unknown"
4,"Balaenoptera borealis","Unknown"
3,"Balaenoptera borealis","Unknown"
1,"Balaenoptera borealis","Unknown"
2,"Balaenoptera musculus","Increasing"
4,"Balaenoptera musculus","Increasing"
3,"Balaenoptera musculus","Increasing"
1,"Balaenoptera musculus","Increasing"
2,"Balaenoptera physalus","Unknown"
4,"Balaenoptera physalus","Unknown"
3,"Balaenoptera physalus","Unknown"
1,"Balaenoptera physalus","Unknown"
2,"Carcharhinus melanopterus","Decreasing"
4,"Carcharhinus melanopterus","Decreasing"
3,"Carcharhinus melanopterus","Decreasing"
1,"Carcharhinus melanopterus","Decreasing"
2,"Carcharodon carcharias","Unknown"
4,"Carcharodon carcharias","Unknown"
3,"Carcharodon carcharias","Unknown"
1,"Carcharodon carcharias","Unknown"
2,"Caretta caretta",
4,"Caretta caretta",
3,"Caretta caretta",
1,"Caretta caretta",
2,"Cetorhinus maximus","Decreasing"
4,"Cetorhinus maximus","Decreasing"
3,"Cetorhinus maximus","Decreasing"
1,"Cetorhinus maximus","Decreasing"
2,"Dermochelys coriacea","Decreasing"
4,"Dermochelys coriacea","Decreasing"
3,"Dermochelys coriacea","Decreasing"
1,"Dermochelys coriacea","Decreasing"
2,"Galeocerdo cuvier","Unknown"
4,"Galeocerdo cuvier","Unknown"
3,"Galeocerdo cuvier","Unknown"
1,"Galeocerdo cuvier","Unknown"
2,"Isurus oxyrinchus","Decreasing"
4,"Isurus oxyrinchus","Decreasing"
3,"Isurus oxyrinchus","Decreasing"
1,"Isurus oxyrinchus","Decreasing"
2,"Lamna nasus","Decreasing"
4,"Lamna nasus","Decreasing"
3,"Lamna nasus","Decreasing"
1,"Lamna nasus","Decreasing"
2,"Lepidochelys olivacea","Decreasing"
4,"Lepidochelys olivacea","Decreasing"
3,"Lepidochelys olivacea","Decreasing"
1,"Lepidochelys olivacea","Decreasing"
2,"Megaptera novaeangliae","Increasing"
4,"Megaptera novaeangliae","Increasing"
3,"Megaptera novaeangliae","Increasing"
1,"Megaptera novaeangliae","Increasing"
2,"Prionace glauca","Unknown"
4,"Prionace glauca","Unknown"
3,"Prionace glauca","Unknown"
1,"Prionace glauca","Unknown"
2,"Rhincodon typus","Decreasing"
4,"Rhincodon typus","Decreasing"
3,"Rhincodon typus","Decreasing"
1,"Rhincodon typus","Decreasing"
2,"Triaenodon obesus","Unknown"
4,"Triaenodon obesus","Unknown"
3,"Triaenodon obesus","Unknown"
1,"Triaenodon obesus","Unknown"
