"rgn_id","sector","year","value"
1,"cf",1990,16294.6
2,"cf",1990,16294.6
3,"cf",1990,16294.6
4,"cf",1990,16294.6
1,"cf",2000,35962.024
2,"cf",2000,35962.024
3,"cf",2000,35962.024
4,"cf",2000,35962.024
1,"mmw",1998,921.115
2,"mmw",1998,921.115
3,"mmw",1998,921.115
4,"mmw",1998,921.115
1,"mmw",2008,1024.525
2,"mmw",2008,1024.525
3,"mmw",2008,1024.525
4,"mmw",2008,1024.525
1,"tour",2005,109749.195755
2,"tour",2005,109749.195755
3,"tour",2005,109749.195755
4,"tour",2005,109749.195755
1,"tour",2006,122173.95906
2,"tour",2006,122173.95906
3,"tour",2006,122173.95906
4,"tour",2006,122173.95906
1,"tour",2007,125172.146032
2,"tour",2007,125172.146032
3,"tour",2007,125172.146032
4,"tour",2007,125172.146032
1,"tour",2008,127859.281907
2,"tour",2008,127859.281907
3,"tour",2008,127859.281907
4,"tour",2008,127859.281907
1,"tour",2009,123694.653317
2,"tour",2009,123694.653317
3,"tour",2009,123694.653317
4,"tour",2009,123694.653317
1,"tour",2010,115235.791512
2,"tour",2010,115235.791512
3,"tour",2010,115235.791512
4,"tour",2010,115235.791512
