"cntry_key","year","jobs"
"ZAF",1990,"11499667.8249741"
"ZAF",1991,"11880437.4269701"
"ZAF",1992,"12333497.1830929"
"ZAF",1993,"12790050.5092611"
"ZAF",1994,"13268950.1587137"
"ZAF",1995,"13793191.0059665"
"ZAF",1996,"14319600.7576227"
"ZAF",1997,"14900688.2723417"
"ZAF",1998,"15483028.3397612"
"ZAF",1999,"16119028.8074213"
"ZAF",2000,"16750867.1822283"
"ZAF",2001,"17289701.2666248"
"ZAF",2002,"17559668.1283094"
"ZAF",2003,"17328515.9284394"
"ZAF",2004,"16958747.8867318"
"ZAF",2005,"17662679.1728476"
"ZAF",2006,"18172367.9564679"
"ZAF",2007,"18139579.5284099"
"ZAF",2008,"18706930.6484263"
"ZAF",2009,"18301054.4750061"
"ZAF",2010,"18025933.0858235"
"ZAF",2011,"18268490.6698712"
"ZAF",2012,"18687019.0819305"
