" ","score","status","future","trend","pressures","resilience"
"Index",67.84,,67.21,,,
"Food Provision",4.29,4.03,4.56,0,,
". Fisheries",4.27,4,4.55,0,26.64,68.28
". Mariculture",22.86,28.38,17.35,-0.72,29.92,58.29
"Artisanal Fishing Opportunity",71.44,66.69,76.19,0,25.89,68.88
"Natural Products",63.55,55.57,71.54,0.22,24.75,67.57
"Carbon Storage",80.99,99.46,62.53,-0.71,33.26,65.77
"Coastal Protection",22.64,25.51,19.77,-0.48,36.47,65.77
"Tourism & Recreation",100,100,100,0.02,56.75,51.98
"Coastal Livelihoods & Economies",99.92,99.84,100,0.78,,
". Livelihoods",99.84,99.68,100,0.56,30.68,56.55
". Economies",100,100,100,1,29.26,58.19
"Sense of Place",80.08,81.11,79.06,-0.14,,
". Iconic Species",60.17,62.22,58.11,-0.27,32.16,67.51
". Lasting Special Places",100,100,100,0,39.58,63.34
"Clean Waters",70.68,67.21,74.14,0.26,73.02,51.98
"Biodiversity",84.81,85.29,84.33,-0.19,,
". Habitats",90.07,89.62,90.52,-0.16,29.71,66.12
". Species",79.55,80.96,78.13,-0.22,31.51,66.14
